,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,state,area_code,international_plan,voice_mail_plan,churn
48,79.0,0.0,121.3,112.0,20.62,282.8,107.0,24.04,187.06,83.0,5.54,7.4,4.0,2.838,1.0,MN,510.0,no,no,no
49,61.0,0.0,208.4,102.0,35.43,326.1,96.0,27.72,201.9,73.0,9.09,8.9,8.0,2.73,1.0,MI,408.0,no,no,yes
50,97.0,0.0,230.6,131.0,39.2,261.3,136.0,22.21,157.1,96.0,7.07,6.8,4.0,1.84,0.0,CO,510.0,yes,no,no
51,63.0,0.0,154.94,95.0,19.13,211.2,67.0,20.049999999999997,227.5,96.0,10.24,11.1,8.0,3.0,0.0,HI,415.0,no,no,no
52,77.0,36.0,172.2,104.4,26.208,161.6,112.0,13.74,259.7,115.0,11.69,11.8,4.0,2.49,2.0,VT,408.0,no,yes,no
53,73.0,0.0,195.3,97.0,33.2,96.8,89.0,8.23,243.1,84.0,10.94,16.2,13.0,4.37,1.0,TX,408.0,no,no,no
54,105.0,0.0,167.7,93.0,28.51,234.1,103.0,19.9,169.7,121.0,7.64,6.9,5.0,1.86,3.0,VT,510.0,no,no,no
55,159.0,0.0,180.1,103.0,30.62,193.4,148.0,16.44,251.2,109.0,11.3,12.9,5.0,3.62,0.0,OR,408.0,no,no,no
56,83.0,0.0,129.6,81.0,22.03,189.7,117.0,16.12,274.91999999999996,118.0,9.86,9.8,4.0,2.65,2.0,NM,510.0,no,no,no
57,93.0,0.0,215.5,108.0,36.64,230.9,70.0,19.63,144.1,134.0,6.48,9.419999999999998,4.0,3.56,0.0,SD,510.0,no,no,no
58,106.0,22.0,218.6,83.0,33.866,244.4,70.0,16.601999999999997,132.4,99.0,5.96,9.1,6.0,2.46,1.0,MD,408.0,no,yes,no
59,98.0,0.0,211.9,70.8,36.02,224.6,95.0,17.696,233.0,81.0,10.49,9.9,3.0,2.67,2.0,UT,415.0,no,no,no
60,163.0,0.0,82.0,95.0,13.94,125.2,103.0,10.64,225.5,107.0,7.71,8.0,4.0,2.16,1.0,NJ,415.0,no,no,no
61,169.0,22.0,149.1,103.0,25.35,207.2,91.0,17.61,265.4,92.0,11.94,11.4,7.0,3.08,2.0,MA,408.0,no,yes,no
62,111.0,0.0,304.6,56.0,32.434000000000005,157.6,101.0,14.25,188.2,116.0,8.47,12.4,1.0,3.35,1.0,NV,415.0,no,no,yes
63,163.0,0.0,277.7,85.4,47.21,115.3,91.0,9.8,170.3,90.0,7.66,10.4,8.0,2.81,0.0,TN,510.0,no,no,no
64,57.0,0.0,187.7,99.0,26.38,214.1,98.0,18.2,241.0,64.0,10.85,9.62,7.0,2.03,1.0,ME,510.0,no,no,no
65,117.0,0.0,198.5,75.0,33.75,179.8,92.0,15.28,234.1,102.6,10.53,10.6,6.0,2.86,0.0,AL,415.0,no,no,no
66,85.0,0.0,209.1,57.0,28.756,110.7,101.2,9.41,113.3,113.0,7.717999999999999,12.8,4.0,3.46,1.0,LA,408.0,no,no,no
67,132.0,27.2,200.0,104.0,34.0,149.6,101.0,12.72,137.1,110.0,6.17,18.9,2.0,5.1,1.0,AL,415.0,no,no,no
68,190.0,0.0,196.1,95.0,33.34,228.3,88.0,19.41,243.6,95.0,10.96,7.6,3.0,2.05,3.0,FL,415.0,no,no,no
69,39.0,0.0,121.6,99.0,20.67,267.6,81.4,22.75,99.7,88.0,7.703999999999999,7.1,2.0,1.92,1.0,FL,510.0,no,no,no
70,84.0,0.0,204.1,99.4,35.48,164.4,117.0,13.578,165.1,123.0,7.43,0.0,0.0,2.694,1.0,SC,415.0,no,no,no
71,71.0,0.0,212.1,114.0,36.06,235.9,91.0,20.05,207.7,135.0,9.35,11.3,6.0,3.05,4.0,ID,415.0,no,no,no
72,114.0,0.0,188.86,86.0,30.31,176.5,99.0,15.0,187.1,83.0,8.42,13.8,2.0,3.73,1.0,WY,415.0,no,no,no
73,135.0,0.0,181.8,100.4,30.91,159.6,63.0,13.57,232.4,78.0,10.46,10.8,4.6,1.89,0.0,NE,415.0,no,no,no
74,93.0,0.0,120.6,104.0,20.5,205.5,97.2,17.47,192.4,107.0,8.21,9.6,6.0,2.59,2.0,CO,415.0,no,no,no
75,82.0,0.0,172.4,112.0,27.726,131.7,89.0,11.19,182.8,78.0,8.23,8.8,4.4,2.38,1.0,VA,415.0,no,no,no
76,64.0,0.0,160.6,110.0,27.3,224.88,97.0,14.61,105.2,56.0,4.73,7.3,2.0,1.97,0.0,WV,415.0,no,no,yes
77,76.0,12.0,98.4,77.2,25.908,187.5,119.0,15.94,177.0,68.0,7.97,15.1,3.0,4.08,1.0,AZ,408.0,no,yes,no
78,112.0,24.8,109.0,126.0,18.53,193.38,106.0,16.41,208.3,92.0,9.37,7.9,3.0,2.13,1.0,KS,415.0,no,no,no
79,113.0,0.0,122.4,98.0,20.81,223.8,116.0,17.824,267.5,148.0,9.292,11.6,5.0,3.13,3.0,NJ,408.0,yes,no,no
80,137.0,0.0,144.5,119.0,24.57,167.3,89.0,14.22,142.21999999999997,76.0,7.424,6.1,4.0,1.65,5.0,SD,415.0,no,no,yes
81,128.0,0.0,102.5,87.0,17.43,141.26000000000002,97.0,15.06,226.0,121.2,10.17,8.7,5.0,2.6759999999999997,1.0,ND,408.0,no,no,no
82,84.0,0.0,274.1,119.0,46.6,144.1,123.0,14.597999999999995,268.2,100.0,12.07,9.9,4.4,2.67,2.0,SC,415.0,no,no,no
83,140.0,0.0,193.1,82.0,32.83,260.3,107.0,22.13,241.3,93.0,10.86,13.3,5.0,3.59,2.0,ID,510.0,no,no,no
84,106.0,5.8,182.8,96.0,28.776,208.62000000000003,93.0,17.832,219.5,113.0,9.88,7.7,2.0,2.08,2.0,TX,415.0,no,no,no
85,166.0,7.8,148.4,86.0,25.23,170.6,119.0,14.5,201.5,124.0,9.07,11.3,12.0,3.05,1.0,SD,510.0,no,yes,no
86,137.0,0.0,75.8,107.0,23.938,256.9,98.0,21.84,204.4,118.0,9.2,10.5,3.0,2.84,2.0,TN,408.0,no,no,no
87,161.0,0.0,198.0,101.4,33.66,186.4,102.0,15.84,215.63999999999996,90.0,9.86,9.3,2.0,2.384,1.0,TN,415.0,no,no,no
88,120.0,0.0,253.2,95.0,43.04,210.8,86.0,17.92,253.9,81.0,11.43,9.5,4.0,2.57,5.0,DE,415.0,no,no,yes
89,187.0,25.0,199.9,64.0,32.763999999999996,134.6,110.0,13.714,210.4,78.0,9.47,11.7,4.8,3.16,3.0,TN,510.0,no,yes,no
90,102.0,25.0,189.16,105.0,31.88,272.3,88.0,23.15,216.4,91.0,9.74,11.7,2.0,2.62,2.0,OR,415.0,no,yes,no
91,82.0,0.0,183.6,111.0,31.21,303.5,88.0,25.8,189.8,115.0,8.54,10.3,6.0,2.78,0.0,IA,408.0,no,no,no
92,100.0,21.0,86.1,95.0,14.64,189.9,126.0,16.14,201.3,113.0,9.074,11.7,4.0,3.16,0.0,MI,510.0,no,yes,no
93,45.0,0.0,126.8,83.0,21.56,157.8,100.0,13.41,158.3,97.0,7.12,11.0,4.0,2.216,3.0,AR,408.0,no,no,no
94,114.0,0.0,108.3,95.0,18.41,168.3,104.0,14.31,153.1,109.0,6.89,9.1,5.0,2.46,1.0,TN,415.0,no,no,no
95,43.0,0.0,160.5,100.4,27.29,235.8,121.0,20.04,111.8,95.0,5.03,13.8,5.0,3.73,1.0,WV,408.0,yes,no,yes
96,103.0,0.0,180.44,81.0,25.04,158.4,88.0,13.448,193.8,103.0,8.72,11.0,3.0,2.97,2.0,IL,408.0,no,no,no
97,57.0,0.0,165.1,91.0,28.07,240.8,56.0,21.262,277.0,100.0,12.47,9.5,3.0,2.57,2.0,DE,510.0,no,no,no
98,52.0,31.0,122.2,88.0,29.196,139.0,100.0,11.82,141.9,141.0,6.39,5.7,10.0,1.54,3.0,NC,408.0,no,yes,no
99,74.0,0.0,156.3,102.0,26.57,273.1,118.0,23.21,215.8,86.6,9.71,9.0,4.0,2.43,3.0,IA,408.0,no,no,no
100,74.0,46.0,277.7,109.0,47.21,249.26,96.8,22.95,165.3,82.0,7.44,10.4,2.0,2.81,1.0,AL,408.0,no,yes,no
101,40.0,21.0,147.4,100.0,25.06,262.8,106.8,19.705999999999996,202.0,97.0,9.09,10.9,5.0,2.5699999999999994,0.0,HI,415.0,yes,yes,no
102,83.0,0.0,228.4,113.0,38.83,163.3,103.0,13.88,248.0,114.0,11.16,7.8,6.0,2.11,1.0,PA,415.0,no,no,no
103,102.0,0.0,184.6,133.0,31.38,166.8,94.0,14.18,225.2,105.0,10.13,11.56,8.0,1.84,1.0,RI,510.0,no,no,no
104,92.0,0.0,87.6,89.0,14.89,172.3,133.0,14.65,153.4,88.0,6.9,8.0,4.0,2.16,1.0,LA,510.0,no,no,no
105,79.0,25.0,219.0,95.0,37.23,241.9,95.0,20.56,203.4,102.0,9.15,12.62,5.0,1.51,4.0,DC,408.0,no,yes,no
106,110.0,0.0,220.9,100.0,37.55,279.6,76.0,14.75,239.8,107.0,10.79,13.5,9.0,3.65,1.0,TN,510.0,no,no,yes
107,69.0,27.0,189.43999999999997,104.0,32.03,320.6,128.0,27.25,161.7,120.0,7.28,9.7,7.0,2.62,1.0,AL,408.0,no,yes,no
108,56.0,0.0,254.8,83.0,43.32,194.0,98.0,18.206,198.2,118.0,8.38,13.5,2.0,3.65,4.0,IN,510.0,no,no,no
109,133.0,5.0,338.4,86.0,57.53,234.6,97.0,19.94,264.8,139.0,11.92,14.8,4.0,4.0,3.0,UT,510.0,no,no,yes
110,119.0,9.2,168.2,81.0,28.59,283.3,105.0,24.08,243.8,136.0,10.97,10.7,3.0,2.89,1.0,FL,415.0,no,yes,no
111,131.0,0.0,132.7,114.0,24.33,168.8,119.0,11.74,199.4,100.0,8.97,8.9,3.0,2.4,3.0,VA,415.0,no,no,no
112,60.0,10.8,118.3,113.0,19.974,137.83999999999995,97.0,11.716,172.8,78.0,7.78,9.4,4.0,2.54,1.0,CT,415.0,no,yes,no
113,118.0,0.0,256.5,115.0,43.61,182.4,79.0,11.5,208.3,131.0,9.37,8.48,5.0,2.03,0.0,NC,415.0,no,no,no
114,92.0,0.0,185.9,111.0,31.6,216.8,93.0,18.224,231.0,58.0,10.4,9.94,2.0,2.3,1.0,PA,510.0,no,no,no
115,52.0,7.8,219.0,100.0,37.23,148.9,110.0,12.66,167.74,103.2,6.83,11.9,8.0,3.21,3.0,MI,510.0,no,no,no
116,135.0,18.0,180.1,90.0,30.62,207.52,65.0,12.96,258.2,85.0,11.62,12.7,9.0,3.43,1.0,NC,510.0,no,yes,no
117,107.0,6.4,114.9,119.0,19.53,239.7,91.0,20.37,165.3,112.0,7.44,12.6,5.0,3.4,2.0,GA,408.0,no,no,no
118,110.0,0.0,158.6,97.0,26.96,204.4,98.4,17.37,182.5,123.0,8.21,11.3,3.0,3.05,2.0,PA,510.0,no,no,no
119,109.0,6.2,244.2,147.0,41.51,199.7,65.0,16.97,147.08,118.4,6.5,15.4,3.0,4.16,2.0,DE,415.0,yes,yes,yes
120,90.0,0.0,180.0,58.0,31.482,212.7,88.0,19.5,162.2,110.0,7.3,13.2,9.0,3.56,1.0,NY,415.0,no,no,no
121,117.0,0.0,240.2,97.2,40.83,215.36,108.2,15.97,152.7,102.0,6.87,7.0,19.0,1.89,3.0,MA,408.0,no,no,no
122,57.0,7.8,234.4,120.0,39.85,155.3,120.0,13.2,130.5,103.0,5.87,9.4,4.0,2.54,1.0,MT,415.0,no,no,no
123,115.0,0.0,134.7,104.0,23.02,138.8,91.0,11.8,208.5,92.0,9.38,5.4,3.0,2.572,1.0,NE,415.0,no,no,no
124,73.0,0.0,272.4,112.0,34.822,252.2,91.0,19.132,255.4,112.0,11.49,10.9,5.0,2.452,1.0,ME,408.0,no,no,yes
125,127.0,13.2,190.88,95.0,44.69,143.16000000000005,126.0,14.95,202.1,101.0,9.09,7.5,5.0,2.03,1.0,NJ,510.0,no,no,no
126,79.0,0.0,66.7,124.0,11.34,204.0,91.0,17.34,254.7,110.0,11.46,15.1,2.0,4.08,1.0,DE,415.0,no,no,no
127,33.0,33.0,221.4,96.6,37.64,276.1,86.0,23.47,222.9,102.0,10.03,10.1,4.0,2.73,1.0,VT,408.0,no,yes,no
128,110.0,0.0,191.46,99.0,32.61,227.3,123.0,19.32,176.0,110.0,7.92,8.180000000000001,4.0,3.56,1.0,NC,415.0,yes,no,yes
129,133.0,0.0,240.8,112.4,40.94,202.7,62.0,17.23,212.9,76.0,9.58,7.7,3.8,2.08,1.0,CT,408.0,no,no,no
130,145.0,0.0,170.5,101.0,28.99,206.5,112.0,15.714000000000002,194.3,106.0,8.74,9.8,1.0,2.65,3.0,NH,415.0,no,no,no
131,47.0,40.0,158.3,90.0,26.91,213.2,71.0,18.12,123.0,132.0,5.54,14.0,2.0,3.78,2.0,KY,415.0,no,yes,no
132,53.0,24.0,201.7,87.0,31.51,251.7,97.0,18.646,297.4,95.0,13.38,7.9,5.0,2.13,0.0,CO,510.0,no,yes,no
133,148.0,0.0,197.24,102.0,28.7,248.1,125.0,21.09,250.7,96.0,11.28,10.6,4.0,2.86,1.0,NH,510.0,no,no,no
134,72.0,0.0,169.04000000000002,98.0,24.12,182.68,63.0,15.99,115.2,49.0,5.18,12.0,5.0,3.102,2.0,MA,415.0,no,no,no
135,96.0,0.0,193.8,75.0,31.04,188.6,67.0,16.03,137.7,81.0,6.2,9.5,6.4,2.57,5.0,LA,510.0,no,no,yes
136,113.0,28.0,264.4,93.0,44.95,222.8,108.6,18.94,213.7,88.0,9.62,10.0,4.0,2.7,1.0,WV,510.0,no,yes,no
137,55.0,0.0,203.7,80.0,34.63,230.2,81.8,19.57,120.3,48.0,5.41,9.4,1.0,2.79,3.0,IL,415.0,no,no,no
138,143.0,0.0,191.6,53.0,32.57,157.3,104.0,13.372,195.8,125.0,8.81,10.88,9.0,2.89,3.0,MI,415.0,no,no,no
139,60.0,0.0,136.4,147.0,23.19,219.9,101.0,18.69,99.7,73.0,4.49,10.96,3.0,1.89,0.0,IN,415.0,no,no,no
140,90.0,30.0,162.24,103.0,28.59,220.9,75.0,18.78,224.3,105.0,10.09,8.2,2.0,2.21,0.0,CO,415.0,no,yes,no
141,170.0,34.0,125.3,128.0,21.3,240.6,104.0,17.84,261.38,109.0,10.95,7.0,3.0,1.89,3.0,DC,408.0,no,yes,no
142,65.0,0.0,217.9,89.0,37.04,238.8,101.0,20.3,194.4,105.0,8.75,6.6,4.0,1.78,0.0,TX,415.0,no,no,no
143,93.0,0.0,198.1,93.0,33.68,236.1,95.0,20.07,127.3,121.0,5.73,12.6,4.0,3.4,2.0,IA,408.0,no,no,no
144,117.0,17.6,197.16,81.0,30.4,304.46,85.0,24.32,229.4,128.0,10.32,8.819999999999999,5.0,1.92,1.0,UT,408.0,yes,yes,no
145,96.0,18.0,262.9,57.0,44.69,190.2,107.0,15.782,293.5,103.0,13.21,11.8,4.0,3.19,3.0,AL,415.0,no,yes,no
146,101.0,0.0,164.6,85.0,27.98,204.9,72.0,17.42,136.4,104.0,6.14,11.5,5.0,3.11,0.0,CT,415.0,no,no,no
147,60.0,0.0,197.0,130.0,33.49,219.2,105.0,18.63,102.8,113.0,4.63,12.6,4.0,3.4,1.0,NV,415.0,no,no,no
148,157.0,0.0,102.9,94.0,17.49,229.1,96.0,19.418,198.7,129.0,8.94,13.6,2.0,3.67,1.0,IA,510.0,no,no,no
149,89.0,0.0,144.2,74.0,25.78,164.7,119.0,14.0,279.2,121.0,12.56,12.1,7.0,2.74,4.0,UT,408.0,no,no,yes
150,96.0,26.0,126.5,108.0,21.51,236.92,114.0,10.52,308.5,98.0,13.88,13.1,6.0,3.54,2.0,GA,408.0,no,yes,no
151,91.0,0.0,139.8,109.0,23.77,157.0,91.0,13.524,218.6,122.0,9.84,13.6,4.0,3.67,3.0,PA,415.0,no,no,no
152,104.0,0.0,139.7,112.0,23.75,199.8,127.0,16.98,189.3,104.4,8.088,10.3,3.8,2.78,2.0,VA,415.0,no,no,no
153,40.0,0.0,309.4,86.0,52.6,271.3,98.0,23.06,197.1,116.0,8.87,11.2,5.0,3.02,3.0,SC,415.0,no,no,yes
154,161.0,0.0,159.6,102.0,27.13,212.6,119.0,18.07,151.4,83.0,6.81,12.6,7.0,3.4,5.0,WV,415.0,no,no,yes
155,131.0,29.0,239.7,102.0,40.75,212.8,109.0,17.514000000000003,187.7,77.0,8.45,10.5,2.0,2.84,1.0,KY,408.0,no,yes,no
156,131.0,7.8,195.6,93.0,33.25,245.0,86.6,20.83,104.7,101.4,4.71,13.2,6.0,2.94,2.0,KS,510.0,no,no,no
157,79.0,0.0,161.1,119.8,27.39,159.74000000000004,111.0,14.5,274.4,80.0,12.35,7.6,2.0,2.05,2.0,DC,510.0,no,no,no
158,130.0,22.0,173.9,86.2,27.895999999999997,234.8,86.0,19.96,210.98,79.0,5.48,8.4,5.0,2.27,1.0,AZ,510.0,no,yes,no
159,161.0,0.0,165.4,88.0,27.322000000000003,209.7,111.0,17.82,270.7,129.0,12.18,10.5,3.0,2.84,4.0,HI,408.0,no,no,no
160,108.0,28.0,221.3,117.0,37.62,156.0,102.0,15.744,159.3,80.0,7.17,8.7,3.0,2.35,0.0,MS,415.0,no,yes,no
161,69.0,0.0,176.8,89.0,30.06,196.0,89.0,16.66,232.6,151.0,10.47,12.2,6.0,3.54,1.0,WV,415.0,yes,no,yes
162,80.0,0.0,196.0,75.0,33.32,237.8,112.0,20.21,220.1,127.0,9.9,13.9,5.0,3.75,1.0,NC,408.0,no,no,no
163,146.0,0.0,174.3,113.0,31.978,200.7,107.0,17.06,281.2,145.0,12.65,11.6,3.0,3.13,4.0,ME,415.0,no,no,no
164,143.0,0.0,186.9,98.0,31.77,196.5,92.2,16.7,215.3,104.0,9.69,12.3,3.0,3.32,4.0,NJ,408.0,yes,no,no
165,114.0,0.0,115.6,93.0,19.65,163.2,78.0,13.87,251.3,104.0,11.358,9.7,1.0,2.62,2.0,WA,510.0,yes,no,yes
166,113.0,0.0,158.4,107.0,26.93,142.2,104.0,12.09,174.7,98.8,7.86,14.9,2.0,4.02,0.0,WY,408.0,no,no,no
167,29.0,38.0,149.4,93.0,25.4,190.28000000000003,96.0,16.13,127.4,71.0,5.73,6.0,3.0,1.62,1.0,ME,415.0,no,yes,no
168,57.0,36.0,225.9,109.0,41.57,161.2,123.8,13.7,184.3,111.4,8.29,9.7,3.0,2.62,1.0,MS,415.0,no,yes,no
169,78.0,0.0,145.5,124.0,24.74,190.6,105.0,12.19,291.1,123.0,13.1,9.5,5.0,2.57,3.0,KY,415.0,no,no,no
170,120.0,0.0,147.7,101.0,25.35,144.1,71.0,12.25,237.0,115.0,10.67,11.1,5.0,3.0,0.0,GA,510.0,no,no,no
171,97.0,0.0,164.3,106.0,27.93,182.3,97.0,15.5,212.9,93.0,8.28,12.1,4.8,3.27,1.0,AL,415.0,no,no,no
172,185.0,0.0,89.4,77.0,15.2,288.9,128.0,24.56,162.9,93.0,7.33,11.0,2.0,2.81,3.0,IN,415.0,no,no,no
173,144.0,38.0,276.3,149.0,46.97,168.32,112.0,21.42,132.5,85.0,8.716,8.7,3.0,2.35,1.0,AK,415.0,no,yes,no
174,97.0,32.0,172.7,79.0,29.36,217.4,101.0,18.48,260.7,88.0,11.73,11.7,5.0,3.16,1.0,AR,510.0,no,yes,no
175,130.0,0.0,138.7,68.0,23.58,205.6,102.0,17.48,231.2,108.0,10.4,13.6,3.0,3.67,2.0,VA,415.0,no,no,no
176,59.0,26.0,205.4,68.0,34.92,115.0,115.0,9.78,214.7,130.0,9.66,9.4,2.0,2.54,5.0,DC,415.0,no,yes,no
177,139.0,0.0,187.4,86.0,31.86,169.3,116.0,14.39,153.4,88.0,6.9,11.7,3.0,3.16,1.0,ID,408.0,no,no,no
178,12.0,0.0,206.1,105.0,34.632,246.6,104.0,18.684,254.6,83.0,11.46,12.1,7.0,3.27,2.0,DE,415.0,no,no,no
